G,K,x-coordinate [m],y-coordinate [m],x-displacement [m],y-displacement [m]
50700000000.0,93400000000.0,0.0400000000001071,0.02,4.612305331357174e-05,-5.068585667110832e-06
50700000000.0,93400000000.0,0.033959471643858874,0.006579724727082873,3.88418241461872e-05,7.576552556089473e-07
50700000000.0,93400000000.0,0.040082561481146,0.016024556284552495,4.622825625838978e-05,-3.860302318215812e-06
50700000000.0,93400000000.0,0.03799999999647134,0.013464101613100488,4.2471363391301697e-05,-2.3847849828885168e-06
50700000000.0,93400000000.0,0.03599999999999999,0.01,3.77728859902788e-05,-3.880663476620584e-08
50700000000.0,93400000000.0,0.034999999999904066,0.0,4.186077873221294e-05,3.6652094829757777e-06
50700000000.0,93400000000.0,0.036455682346660634,0.0034199237007551575,4.259198637075988e-05,2.900462604416357e-06
50700000000.0,93400000000.0,0.04354431765621696,0.01658007629704226,4.964980078027075e-05,-2.9394370761921448e-06
50700000000.0,93400000000.0,0.03800000001440158,0.006535898376547476,4.242958106803528e-05,2.3164179226772405e-06
50700000000.0,93400000000.0,0.0450000000000993,0.02,5.0380956541383375e-05,-3.7041522043099055e-06
50700000000.0,93400000000.0,0.041999999993413376,0.013464101618940554,4.981222446928178e-05,-2.355416227913381e-06
50700000000.0,93400000000.0,0.03999999999988339,0.0,4.6118688145564154e-05,5.0295665616103874e-06
50700000000.0,93400000000.0,0.03991743852718539,0.00397544371663841,4.601353305862543e-05,3.821285885469214e-06
50700000000.0,93400000000.0,0.042000000012711515,0.006535898392201239,4.9770447416678847e-05,2.3457466190924436e-06
50700000000.0,93400000000.0,0.04814281610488383,0.016571524612458352,5.40333824905541e-05,-1.6782297009231904e-06
50700000000.0,93400000000.0,0.046040528357652176,0.013420275266302167,5.339996411383564e-05,-7.966130759490852e-07
50700000000.0,93400000000.0,0.043408459460457155,0.0034510556415204494,4.9506372959456074e-05,2.955495288239684e-06
50700000000.0,93400000000.0,0.044,0.01,5.4468918774921216e-05,-2.1209724882288918e-10
50700000000.0,93400000000.0,0.0457266921512505,0.006793201870641596,5.322958370275151e-05,7.467579711775623e-07
50700000000.0,93400000000.0,0.050000000000082014,0.02,5.513662223995353e-05,-2.6467697214198255e-06
50700000000.0,93400000000.0,0.0481095620293486,0.009974006907113978,5.585514262646351e-05,-1.0448370154515567e-08
